word_id	ref	surface	lemma	morph
08xeN	Ruth.1.1	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
08Nvk	Ruth.1.1	בִּ/ימֵי֙	b/3117	HR/Ncmpc
08TyA	Ruth.1.1	שְׁפֹ֣ט	8199	HVqc
08vuQ	Ruth.1.1	הַ/שֹּׁפְטִ֔ים	d/8199	HTd/Vqrmpa
08TSc	Ruth.1.1	וַ/יְהִ֥י	c/1961	HC/Vqw3ms
08k5P	Ruth.1.1	רָעָ֖ב	7458	HNcmsa
08nPh	Ruth.1.1	בָּ/אָ֑רֶץ	b/776	HRd/Ncbsa
08LN3	Ruth.1.1	וַ/יֵּ֨לֶךְ	c/3212	HC/Vqw3ms
08Qzf	Ruth.1.1	אִ֜ישׁ	376	HNcmsa
08aPd	Ruth.1.1	מִ/בֵּ֧ית	m/1035+	HR/Np
08eYX	Ruth.1.1	לֶ֣חֶם	1035	HNp
08C5U	Ruth.1.1	יְהוּדָ֗ה	3063	HNp
08qNN	Ruth.1.1	לָ/גוּר֙	l/1481 a	HR/Vqc
08EVS	Ruth.1.1	בִּ/שְׂדֵ֣י	b/7704 b	HR/Ncmpc
08PB6	Ruth.1.1	מוֹאָ֔ב	4124	HNp
0837c	Ruth.1.1	ה֥וּא	1931	HPp3ms
08x9c	Ruth.1.1	וְ/אִשְׁתּ֖/וֹ	c/802	HC/Ncfsc/Sp3ms
08yNB	Ruth.1.1	וּ/שְׁנֵ֥י	c/8147	HC/Acmdc
0829t	Ruth.1.1	בָנָֽי/ו	1121 a	HNcmpc/Sp3ms
08KZG	Ruth.1.2	וְ/שֵׁ֣ם	c/8034	HC/Ncmsc
08TZE	Ruth.1.2	הָ/אִ֣ישׁ	d/376	HTd/Ncmsa
08thY	Ruth.1.2	אֱֽלִימֶ֡לֶךְ	458	HNp
08JM7	Ruth.1.2	וְ/שֵׁם֩	c/8034	HC/Ncmsc
08fpo	Ruth.1.2	אִשְׁתּ֨/וֹ	802	HNcfsc/Sp3ms
08W26	Ruth.1.2	נָעֳמִ֜י	5281	HNp
08yw4	Ruth.1.2	וְ/שֵׁ֥ם	c/8034	HC/Ncmsc
08jbg	Ruth.1.2	שְׁנֵֽי	8147	HAcmdc
08USR	Ruth.1.2	בָנָ֣י/ו	1121 a	HNcmpc/Sp3ms
08v6U	Ruth.1.2	מַחְל֤וֹן	4248	HNp
085SS	Ruth.1.2	וְ/כִלְיוֹן֙	c/3630	HC/Np
08GzE	Ruth.1.2	אֶפְרָתִ֔ים	673	HNgmpa
08qCU	Ruth.1.2	מִ/בֵּ֥ית	m/1035+	HR/Np
08g2y	Ruth.1.2	לֶ֖חֶם	1035	HNp
08jQb	Ruth.1.2	יְהוּדָ֑ה	3063	HNp
08794	Ruth.1.2	וַ/יָּבֹ֥אוּ	c/935	HC/Vqw3mp
08CsU	Ruth.1.2	שְׂדֵי	7704 b	HNcmpc
08XR4	Ruth.1.2	מוֹאָ֖ב	4124	HNp
